Team,Nickname,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Man City,A,1,2,1,2,2,3,h,1,1,1,e,3,f,2,3,2,1,3,1,2,1,1,1,p,2,d,2,1,3,2,r,f,b,1,S-4,q,2,i
Arsenal,B,2,2,3,1,1,c,Q-4,1,1,3,s,a,3,1,l,1,3,f,1,2,1,q,1,2,R-4,,2,2,S-5,2,1,1,1,1,1,1,1,1
Man Utd,C,3,2,2,1,2,B-4,1,1,a,Q-4,2,H-4,3,1,3,2,1,2,o,A-6,B-4,1,3,r,2,E-4,t,2,d,3,3,,3,G-7,1,m,2,1
Newcastle,D,2,F-4,2,1,2,2,,3,J-7,1,c,q,H-4,2,1,3,1,3,B-4,2,1,n,O-5,3,1,1,,1,1,2,G-4,2,1,1,b,2,1,1
Liverpool,E,J-4,3,2,3,2,2,1,3,1,B-6,3,1,p,,2,t,3,2,I-4,2,L-5,2,Q-4,d,1,c,O-4,3,A-5,2,2,2,1,h,1,R-4,G-4,
Brighton,F,1,1,1,2,2,2,o,2,e,2,3,1,A-4,,1,3,1,B-5,q,E-4,2,o,2,J-4,2,,3,c,2,1,1,2,2,2,1,B-4,1,G-6
Aston Villa,G,O-4,2,1,2,1,A-5,1,1,2,3,3,3,i,3,c,1,3,h,1,2,t,2,A-4,b,q,k,1,o,l,1,1,3,j,3,2,2,1,f
Tottenham Hotspur,H,2,1,2,3,n,3,1,1,3,3,,c,3,3,1,s,I-5,1,2,1,j,2,2,,l,1,1,1,3,2,1,d,2,E-5,1,G-9,1,1
Brentford,I,2,1,J-7,q,k,1,1,3,2,3,f,2,1,m,2,2,1,,E-7,2,1,1,1,3,1,3,1,1,2,2,1,G-6,2,1,2,3,1,3
Fulham,J,E-4,m,I-5,b,f,h,3,1,D-4,2,1,g,S-4,q,a,1,2,1,1,3,2,l,1,f,1,1,2,2,1,n,q,S-5,G-5,3,1,1,2,1
Crystal Palace,K,1,2,1,1,1,1,c,f,1,2,1,m,2,T-5,n,p,1,1,1,1,d,C-4,3,2,E-4,G-5,3,2,1,2,1,1,1,1,h,2,2,2
Chelsea,L,2,2,S-7,3,3,1,3,E-4,k,3,1,i,2,,3,d,3,2,2,3,1,3,N-4,3,2,2,R-4,2,2,1,1,,i,b,o,1,2,2
Wolves,M,1,1,h,3,3,1,3,a,1,l,2,K-4,3,1,1,3,2,1,G-4,N-4,a,1,3,2,1,3,,2,p,2,i,3,2,f,3,1,1,b
West Ham,N,A-4,2,3,1,1,1,,1,2,1,t,e,1,2,K-4,2,b,,3,1,1,2,3,,1,,G-6,a,1,2,B-4,3,1,1,1,3,1,3
Bournemouth,O,1,1,1,e,m,1,1,1,1,3,j,2,n,h,,1,l,1,2,1,2,1,2,m,1,,2,2,1,2,1,n,2,2,1,1,c,1
Nott'm Forest,P,d,3,1,1,2,1,3,2,R-4,g,1,f,3,2,i,3,2,2,t,2,2,2,3,2,1,,1,1,2,G-7,1,3,1,1,3,2,1,2
Everton,Q,l,3,P-4,2,2,3,2,1,1,1,,3,1,J-5,r,1,1,2,1,3,2,3,2,1,1,,3,1,1,2,1,3,3,3,1,1,m,o
Leicester,R,2,3,t,1,c,3,2,h,3,o,2,S-4,3,a,1,n,3,E-5,j,1,f,G-8,2,1,B-4,2,l,3,2,3,3,1,S-6,Q-6,J-4,3,d,2
Leeds,S,m,1,1,1,2,1,3,c,g,2,B-4,2,J-4,,,1,a,d,3,G-5,1,3,3,q,2,2,3,m,1,2,1,2,R-4,1,3,d,1,1
Southampton,T,h,1,1,1,l,m,1,g,q,1,1,o,B-4,3,D-4,2,f,j,1,2,3,2,m,1,3,R-4,2,2,1,a,3,2,O-4,2,1,J-4,1,
